ph,turbidity,solids,chloramines,sulfate,conductivity,organic_carbon,hardness,temperature,dissolved_oxygen,potability
7.283,3.623,26463.892,3.792,278.338,219.091,19.631,129.5,19.684,7.293,0
5.876,3.624,27030.414,3.933,390.99,192.353,12.432,146.127,12.889,6.323,0
5.732,0.996,17234.357,5.223,380.366,310.616,9.703,181.624,16.446,9.374,1
8.751,2.124,9119.378,1.017,255.046,483.883,6.034,266.883,17.939,11.301,1
8.824,7.336,33634.757,4.15,210.303,422.187,15.409,106.918,24.629,5.889,0
6.92,6.73,17909.194,4.194,301.482,315.003,8.439,191.635,22.368,5.048,0
6.717,3.06,25486.602,5.58,209.815,493.732,23.064,121.171,17.052,6.612,0
8.561,5.444,13923.214,8.984,340.239,419.917,25.006,159.401,6.872,9.933,0
5.993,4.145,23765.496,5.21,301.045,392.089,11.541,241.142,25.683,6.936,0
6.205,5.846,1800.0,1.255,460.0,211.278,5.007,143.342,28.089,8.059,0
7.743,5.603,14832.118,3.272,390.23,312.538,15.442,175.515,28.595,5.758,1
6.705,3.242,16860.328,5.625,173.307,639.831,21.945,197.756,17.404,10.611,1
7.095,4.767,20506.957,5.286,220.903,364.645,6.595,228.565,28.956,6.868,1
6.937,4.335,24468.16,8.349,102.314,290.185,21.041,159.866,26.283,7.849,0
7.438,3.305,10388.071,7.02,83.292,359.13,4.179,259.343,26.255,5.967,0
8.507,2.808,21789.793,6.96,274.675,419.29,5.956,165.518,19.466,5.794,0
7.191,9.316,25473.335,4.666,163.647,511.001,13.89,216.639,22.23,7.393,0
7.744,3.308,32748.425,7.298,404.501,479.53,17.075,179.555,33.623,7.587,1
5.05,5.221,22093.082,3.308,363.423,323.808,12.201,230.75,32.729,8.953,0
7.051,8.865,14513.211,7.037,241.923,557.589,14.522,301.513,22.72,4.362,1
6.257,4.762,9233.53,4.535,237.093,502.763,17.47,174.732,24.112,5.688,0
5.881,4.618,29389.815,2.204,391.257,351.584,17.991,189.119,10.269,6.163,0
6.222,3.321,22292.723,6.286,410.742,389.616,9.7,166.238,29.983,7.616,0
6.766,4.388,17357.158,7.895,185.729,477.08,8.614,157.773,27.325,5.367,0
8.016,2.634,6971.181,4.287,174.799,533.964,17.241,151.539,25.001,7.228,1
5.774,12.5,11447.304,8.226,239.407,222.76,14.544,188.974,19.506,6.241,0
7.131,1.018,21603.582,1.788,301.651,413.454,15.149,147.266,23.385,7.156,1
6.616,2.939,19799.915,2.706,221.338,401.265,9.525,148.935,31.501,6.006,1
6.772,4.815,4848.845,4.807,303.438,336.524,15.371,45.0,25.099,5.579,1
8.103,4.621,21611.982,4.358,430.775,335.904,7.575,266.172,38.0,7.913,0
7.638,2.631,7305.163,3.766,145.487,531.525,13.613,280.409,27.707,9.403,1
8.437,0.696,26301.059,5.367,227.118,469.161,13.003,225.682,17.671,8.864,1
6.945,1.181,18855.613,4.043,147.106,657.796,13.034,141.936,20.617,9.403,0
6.404,3.804,14487.761,4.382,193.89,336.625,16.015,120.508,18.883,9.614,1
6.876,0.497,23936.003,5.657,239.952,421.456,7.909,103.952,27.975,7.111,1
7.342,5.045,19797.745,3.765,203.187,442.164,15.546,225.154,29.691,10.768,0
7.277,7.102,26112.029,4.888,309.198,512.53,12.593,259.591,32.954,8.761,0
6.016,5.655,18023.091,3.809,277.831,568.01,8.938,199.135,21.072,5.69,0
7.19,6.407,18402.326,2.689,290.417,416.233,6.552,237.181,25.714,6.196,1
7.328,0.519,15645.872,6.627,238.931,273.627,20.999,214.467,30.426,7.672,1
9.617,2.711,19209.286,8.516,246.758,319.695,12.187,147.602,31.989,8.985,0
8.977,1.459,28536.681,7.229,235.191,422.127,10.903,245.521,15.863,6.988,0
6.247,0.821,14232.033,5.763,243.864,539.731,7.353,242.006,26.597,5.652,1
6.813,2.298,21711.708,3.817,300.616,231.431,17.399,135.523,16.08,8.823,1
5.637,8.726,11777.117,4.526,101.503,264.6,17.05,234.391,19.51,5.39,0
6.509,10.276,4066.241,7.214,289.475,495.858,16.183,181.882,15.421,7.947,0
7.416,1.627,18848.482,0.537,191.158,249.765,12.225,175.651,19.399,7.478,1
8.306,3.478,19907.635,4.373,236.197,269.997,15.881,211.483,14.592,4.984,0
6.371,4.346,16784.667,6.568,132.27,541.384,8.793,209.784,16.145,10.599,1
6.446,2.725,7776.098,2.823,234.513,378.441,13.479,238.878,17.753,7.43,1
4.953,7.434,19477.957,5.947,288.62,369.263,12.256,143.288,24.758,5.265,0
6.937,2.325,19231.039,5.854,303.852,569.195,13.702,221.108,23.197,7.487,1
6.038,2.031,11722.926,2.191,164.162,277.443,4.341,126.202,13.465,4.286,1
6.571,1.701,8702.305,5.274,299.751,253.322,20.914,180.169,38.0,8.05,0
6.223,2.711,15859.478,3.865,361.881,600.506,19.783,183.836,20.167,8.95,1
7.006,0.2,21744.04,5.932,223.036,432.999,7.325,243.353,15.29,12.263,1
5.342,2.809,20208.256,6.44,265.078,486.565,15.098,190.509,26.379,7.576,0
5.633,3.633,11774.56,5.898,89.174,367.67,5.809,175.599,22.973,6.214,0
9.229,3.798,18390.013,5.245,188.752,392.208,12.877,268.426,18.287,7.772,0
5.813,1.383,23266.322,5.678,287.994,320.548,2.619,166.405,25.266,9.993,1
6.003,3.746,9877.673,2.748,346.215,443.174,11.185,164.087,19.1,8.302,0
8.937,3.691,17910.51,5.038,214.061,504.765,10.305,86.793,21.285,8.899,0
9.7,3.75,26207.666,3.507,460.0,428.518,17.705,178.072,31.501,8.768,0
5.928,5.728,9212.941,7.163,291.681,532.309,20.008,138.317,23.717,8.311,0
6.732,1.333,25010.921,6.466,156.765,484.487,20.109,176.21,26.562,4.877,1
7.442,2.75,28024.718,6.461,374.411,279.187,17.712,203.198,19.972,4.779,0
8.829,0.648,16055.664,8.527,158.5,387.631,12.871,130.319,23.889,4.557,0
6.113,5.378,15270.444,4.44,292.916,351.193,14.247,144.736,18.529,5.245,0
6.855,1.523,24215.114,4.002,186.015,495.412,14.225,102.03,18.273,5.452,0
7.877,6.32,16290.153,4.393,149.618,460.39,7.189,161.96,20.608,10.748,1
7.535,6.467,2204.676,1.896,346.783,420.286,17.657,138.053,18.972,6.128,0
6.724,2.956,16857.835,2.053,242.919,526.631,15.605,307.931,29.021,7.58,1
6.966,2.842,20557.626,6.342,411.682,181.118,15.814,272.722,26.359,6.961,0
5.725,0.935,22310.545,2.31,178.476,332.624,2.233,263.801,9.705,7.748,0
6.862,3.398,11775.91,2.95,132.431,342.806,14.537,118.787,33.0,7.526,1
6.834,5.694,15746.293,4.897,224.228,435.208,17.025,180.245,26.719,5.139,0
7.332,4.084,23849.897,4.276,460.0,471.337,12.431,123.825,29.639,8.476,1
6.545,8.019,17110.009,6.871,335.883,404.843,10.247,291.355,22.009,6.176,0
7.572,2.511,7563.203,5.221,312.081,247.205,6.369,235.71,14.335,6.116,1
8.113,2.509,25544.647,3.503,314.89,453.813,6.046,132.108,15.321,6.848,1
7.255,1.613,16108.278,7.043,223.788,420.367,13.194,210.321,32.902,8.856,1
7.452,11.501,24592.922,6.558,460.0,228.754,11.444,108.459,13.562,6.276,1
7.153,0.926,8429.531,2.278,303.937,369.552,11.381,182.493,14.615,7.565,1
7.1,5.423,16713.586,5.605,295.967,449.883,19.38,180.344,20.49,8.125,1
6.378,5.773,20813.284,3.67,348.713,603.385,6.848,230.681,14.968,7.862,0
7.416,5.61,16933.558,3.617,156.774,274.311,10.944,244.331,26.092,7.764,0
7.003,1.73,9810.46,8.839,190.256,499.814,20.123,191.118,26.543,4.874,0
9.193,2.955,1985.779,5.349,244.131,275.823,11.096,177.68,25.399,7.628,0
8.673,4.91,27401.223,4.665,349.263,252.527,12.798,45.0,19.438,5.754,0
7.486,2.061,19112.248,5.27,154.665,259.609,11.712,275.917,24.675,4.232,0
6.337,2.653,25084.207,6.848,259.275,477.602,15.676,153.832,33.345,6.567,0
5.988,2.09,23536.349,3.697,247.248,420.587,3.252,195.618,14.683,6.466,0
8.291,3.567,21379.504,4.038,131.177,367.237,11.585,314.25,29.477,12.728,1
7.363,3.4,15411.307,6.413,221.741,459.94,12.745,124.327,27.686,9.157,1
7.58,8.952,20683.485,2.067,311.091,409.899,8.008,191.17,22.389,8.812,0
5.355,4.983,26811.49,7.082,138.922,418.262,14.046,217.327,23.965,6.666,0
8.027,1.142,18039.571,1.89,384.963,368.577,16.039,250.085,25.069,7.067,1
7.554,1.228,29861.057,4.608,304.784,281.694,14.534,190.067,17.336,12.029,1
5.99,5.488,7753.758,1.902,294.411,607.957,20.507,254.657,13.533,6.255,0
6.628,3.374,7055.094,2.987,265.696,573.052,10.55,167.14,28.258,7.859,1
7.364,11.068,23922.489,7.695,172.153,595.819,14.744,219.893,15.78,10.714,0
7.152,11.048,12178.171,7.189,209.776,340.282,14.642,212.768,16.66,6.097,0
6.808,1.605,30781.69,7.403,295.758,323.169,11.44,184.989,20.01,7.67,1
6.997,4.127,26192.719,2.202,209.609,355.267,17.6,207.793,24.65,7.367,1
6.848,1.242,27819.215,2.998,281.044,533.893,13.797,141.899,20.104,5.8,1
7.253,5.426,23248.836,5.78,188.595,404.977,7.095,173.574,18.801,8.795,1
8.571,9.784,11509.706,6.531,303.372,339.817,15.878,119.222,28.526,5.392,0
4.533,3.733,6714.28,3.501,309.717,448.663,10.253,165.714,21.067,8.797,0
6.863,2.444,27219.415,3.942,126.646,316.626,11.048,252.6,18.369,8.173,1
7.277,4.426,7752.807,2.837,270.721,242.353,11.381,213.123,25.289,9.016,1
7.396,6.189,27801.757,8.416,135.658,420.508,15.809,206.936,23.34,7.05,1
6.728,6.217,21852.496,4.15,106.812,343.071,17.355,102.062,23.167,8.101,0
5.343,2.465,17004.358,5.163,214.519,403.356,11.782,207.603,25.572,9.247,1
7.428,2.02,20373.31,5.267,460.0,110.0,11.524,186.547,22.203,4.864,0
8.827,3.974,20524.391,7.311,330.908,297.951,3.288,219.558,27.899,5.225,0
5.566,2.593,16184.332,3.195,383.329,399.593,9.306,266.077,14.715,8.447,1
7.964,7.436,26766.967,7.437,316.715,223.033,8.24,167.509,30.199,8.881,0
6.771,2.569,26544.106,2.543,282.463,227.113,13.9,172.642,17.703,7.644,0
7.039,3.542,18511.785,7.431,341.108,409.652,12.018,240.497,13.507,9.056,0
6.047,4.35,13600.036,1.669,210.636,489.19,8.41,156.812,18.428,6.748,0
6.766,0.959,25988.701,4.891,304.994,297.994,13.187,194.807,20.973,9.681,0
8.4,2.158,4353.358,8.351,365.053,373.545,12.196,80.188,18.737,7.269,0
7.683,10.758,20385.302,6.495,324.451,376.317,1.5,173.057,17.402,5.998,0
8.832,6.017,22307.238,5.942,370.636,217.522,17.486,261.776,28.861,9.965,0
8.277,2.543,12115.713,3.003,280.521,547.066,17.049,208.449,17.95,8.888,1
7.539,5.441,23829.606,3.63,408.827,383.045,11.429,239.468,9.905,6.589,0
8.844,7.356,17328.492,7.789,247.3,384.331,14.087,242.597,20.967,6.626,0
7.539,2.853,13952.949,6.045,445.004,449.758,11.036,264.209,34.863,8.482,0
7.928,5.827,23760.952,6.88,313.757,217.801,5.28,170.906,16.829,5.599,0
6.803,5.286,10443.051,5.248,232.365,515.392,22.237,241.825,17.782,7.977,0
7.167,1.26,23149.757,4.537,164.774,531.073,15.874,313.619,20.659,7.096,1
6.403,2.865,4614.75,6.633,196.321,421.864,16.733,188.553,31.956,7.787,0
8.09,9.105,19357.079,5.619,183.454,460.465,11.22,117.419,20.915,3.762,0
5.922,10.563,17784.986,4.76,257.459,365.87,17.567,157.278,17.065,5.767,0
7.882,6.049,13991.978,2.272,156.714,508.595,6.334,215.759,25.106,7.857,0
6.909,2.101,20032.562,7.008,374.884,306.247,11.395,98.606,24.674,9.295,1
8.271,0.359,16982.794,5.98,274.411,401.112,15.829,148.085,25.823,7.164,1
