power_usage,water_usage,gas_usage,temperature,humidity,usage_score,anomaly
115.22,39.38,23.5,34.46,31.27,36.56,0
144.42,38.84,24.91,28.31,61.79,37.48,0
108.17,46.94,14.36,37.46,90.5,32.69,0
110.77,42.35,34.42,23.97,58.3,32.2,0
139.45,53.65,22.56,24.92,60.03,36.49,0
125.55,67.2,29.09,28.33,37.22,40.29,0
126.14,37.69,37.1,28.19,42.27,37.87,0
127.95,48.96,26.58,21.76,59.99,33.14,0
124.87,57.67,23.75,22.48,87.53,32.11,0
114.69,36.72,42.03,21.88,48.56,33.38,0
136.17,58.41,19.92,33.2,55.47,40.3,0
142.48,46.92,30.35,28.78,32.26,41.28,0
118.8,54.35,18.39,28.18,75.14,32.74,0
98.65,54.44,18.01,33.0,55.01,32.45,0
101.28,41.43,19.93,45.0,53.72,37.63,0
174.85,20.38,40.85,32.95,84.45,45.38,0
174.8,63.06,33.76,19.92,27.61,45.98,0
91.8,46.75,23.2,35.77,38.47,33.6,0
92.11,50.55,10.14,29.72,31.41,28.38,0
128.44,61.75,16.95,27.5,44.47,36.36,0
144.91,60.91,31.78,24.75,54.55,40.88,0
137.88,20.18,31.8,32.15,38.49,38.43,0
116.16,46.5,20.53,31.02,74.44,33.13,0
112.92,44.98,20.67,18.35,46.06,27.46,0
98.92,31.88,25.74,21.26,77.5,24.2,0
119.01,67.38,11.85,26.0,54.94,32.95,0
142.4,43.9,30.93,20.21,54.12,35.6,0
110.27,52.79,16.57,28.65,68.63,31.11,0
90.33,51.89,37.18,30.28,43.0,34.44,0
110.93,63.08,36.61,20.15,34.37,34.94,0
132.39,43.06,22.92,27.53,46.07,35.82,0
130.21,52.66,27.61,26.68,68.11,36.37,0
113.22,56.56,15.98,32.73,71.05,33.95,0
112.08,43.27,33.88,33.25,26.15,38.68,0
157.09,64.91,21.19,22.26,49.31,40.11,0
102.13,66.86,31.9,29.06,78.55,35.0,0
129.04,56.93,19.24,33.88,37.15,39.89,0
116.75,30.26,41.86,37.73,40.7,41.12,0
116.61,61.46,33.39,37.97,67.48,42.22,0
101.94,35.07,20.61,16.89,38.05,23.75,0
119.72,61.29,39.56,31.41,70.06,40.83,0
125.55,39.01,42.93,29.22,47.22,39.61,0
80.43,56.8,30.53,17.47,54.36,24.77,0
132.85,77.71,23.9,38.64,91.48,44.27,0
118.35,60.79,31.79,34.01,27.62,42.07,0
116.45,50.98,33.61,14.25,95.0,27.54,0
87.88,72.18,27.73,22.43,66.75,29.46,0
139.09,62.17,24.66,41.46,54.78,46.65,0
156.95,55.58,45.31,38.86,65.67,52.05,0
93.02,38.99,31.86,28.59,58.13,30.24,0
108.11,58.54,39.63,31.22,48.94,39.33,0
120.23,45.99,10.0,29.75,42.33,32.24,0
135.13,54.62,25.24,37.36,71.43,42.14,0
135.3,41.77,30.04,25.56,31.73,37.61,0
113.05,50.03,25.23,20.86,45.49,30.56,0
115.5,85.74,33.88,36.89,82.19,44.26,0
104.16,56.86,29.97,28.53,35.28,35.4,0
111.3,44.99,32.94,19.34,61.87,29.81,0
117.01,52.18,33.4,18.23,50.12,31.99,0
136.44,46.39,25.52,27.18,41.11,37.71,0
113.82,47.43,27.63,26.22,70.48,32.34,0
118.51,62.18,19.94,20.64,72.2,30.53,0
60.21,44.73,23.01,31.93,67.22,24.23,0
91.61,43.89,20.61,32.12,95.0,27.89,0
110.42,81.33,23.25,28.59,81.27,36.07,0
150.42,54.92,29.74,28.95,38.97,43.43,0
140.84,73.55,24.9,23.46,27.42,40.98,0
125.84,58.36,33.76,18.45,46.08,34.84,0
125.14,66.06,27.18,37.06,68.43,42.41,0
125.27,49.85,20.12,23.99,65.61,32.07,0
131.27,56.67,25.47,31.63,55.2,39.73,0
91.19,56.87,30.43,20.57,50.34,28.45,0
143.46,37.36,29.84,33.57,72.3,40.38,0
125.83,52.8,24.49,22.93,36.62,34.55,0
102.81,66.42,40.55,27.14,63.97,36.91,0
100.55,55.27,20.2,31.79,56.81,32.74,0
137.41,54.4,24.27,12.0,52.52,30.55,0
137.16,40.86,29.23,30.77,64.57,38.58,0
161.04,45.4,43.99,32.33,57.73,48.18,0
91.21,51.93,26.13,27.87,62.97,29.74,0
103.2,44.14,26.31,21.95,22.45,29.93,0
140.26,56.89,36.51,33.84,55.06,45.14,0
87.48,47.77,24.76,28.27,29.34,30.04,0
134.0,37.56,21.9,35.19,54.84,38.49,0
129.83,66.56,32.45,36.86,58.87,44.96,0
137.67,66.63,34.43,37.87,52.44,47.68,0
142.35,50.07,29.5,16.82,91.87,32.53,0
124.77,34.02,34.0,23.82,24.9,35.05,0
133.16,44.14,24.46,39.62,42.44,42.71,0
139.23,46.03,34.26,33.26,78.18,41.45,0
134.37,51.9,26.78,24.15,78.54,35.03,0
113.31,51.94,30.34,37.89,57.68,40.01,0
108.29,45.25,27.05,22.47,43.07,30.4,0
135.16,46.39,22.42,31.22,61.38,37.74,0
142.12,51.61,27.22,27.29,71.01,38.44,0
126.6,79.87,35.79,33.26,26.43,46.87,0
116.72,39.66,35.3,30.98,56.22,36.71,0
80.26,50.75,25.54,31.8,60.04,29.58,0
138.9,61.28,29.18,24.09,68.84,38.19,0
88.5,37.22,35.2,33.06,58.54,32.19,0
112.2,37.9,33.02,45.0,45.48,42.65,0
137.16,51.97,20.36,29.64,62.9,37.52,0
86.66,52.77,25.69,44.32,91.92,35.72,0
89.83,23.23,33.7,41.71,47.46,34.99,0
156.21,40.96,26.95,34.6,47.12,44.26,0
100.73,45.05,24.44,20.34,91.51,24.9,0
118.03,38.36,32.91,28.6,55.72,35.03,0
184.56,66.78,43.36,35.12,66.76,56.2,0
136.45,46.24,24.97,23.92,45.38,35.72,0
87.68,31.04,44.77,33.29,75.14,32.76,0
113.64,41.23,23.83,23.18,64.7,29.3,0
137.35,41.57,39.92,12.0,57.1,32.27,0
142.94,46.42,30.62,20.27,66.25,35.4,0
143.93,49.32,24.76,25.99,44.34,38.53,0
105.99,51.93,31.63,39.34,71.9,39.01,0
125.56,54.91,22.17,27.62,45.37,36.15,0
146.84,30.94,22.75,38.38,20.0,43.42,0
94.56,46.6,33.57,34.17,38.37,35.77,0
131.6,35.76,27.46,30.52,63.3,36.38,0
124.42,44.11,21.25,35.34,76.06,36.54,0
128.64,65.43,27.46,25.28,32.59,38.92,0
135.85,51.08,31.31,19.05,24.25,36.43,0
128.03,70.16,22.48,28.49,35.24,39.74,0
131.09,49.26,18.72,30.37,62.37,36.05,0
121.87,53.21,31.81,35.03,59.55,40.56,0
135.36,65.29,35.7,44.25,51.72,50.61,0
150.87,43.91,33.93,27.03,41.52,41.89,0
134.84,50.11,25.71,26.0,68.61,36.03,0
72.29,74.26,37.87,25.7,40.21,32.34,0
161.96,28.72,23.32,24.89,39.29,38.25,0
119.03,51.49,31.32,33.93,56.72,39.28,0
126.36,70.48,36.7,34.15,38.42,45.57,0
95.59,32.37,36.99,27.43,40.82,31.29,0
108.21,47.23,26.03,35.19,42.23,36.82,0
120.45,52.13,30.06,22.44,70.84,32.87,0
86.22,28.59,25.89,34.67,34.75,30.33,0
146.82,63.55,27.37,30.74,37.46,44.39,0
123.65,49.4,33.46,26.36,89.61,34.9,0
190.45,29.35,26.21,18.74,90.78,38.51,0
155.53,59.65,30.1,29.26,54.61,44.47,0
149.83,35.8,35.23,31.22,84.78,40.81,0
167.73,58.35,24.09,35.67,23.47,49.8,0
140.1,61.59,29.8,34.71,54.77,44.61,0
110.68,37.99,34.94,32.12,79.56,34.71,0
124.28,35.79,10.0,33.09,47.0,32.98,0
104.65,38.25,29.68,34.12,67.38,34.01,0
100.11,60.3,31.87,35.27,74.41,37.03,0
125.95,45.95,42.78,23.76,20.0,39.25,0
124.2,73.13,30.87,38.35,83.14,44.02,0
118.89,59.18,37.68,36.4,54.89,43.18,0
90.22,66.15,23.35,35.24,47.62,35.34,0
114.6,49.76,19.85,33.98,55.85,35.56,0
140.81,49.04,35.99,21.85,36.28,38.96,0
131.36,30.04,23.53,18.09,55.46,28.77,0
128.43,45.62,20.33,31.27,78.0,35.12,0
126.1,58.19,10.0,24.76,52.94,31.98,0
123.69,57.17,14.4,30.83,58.97,35.19,0
149.75,43.04,28.37,30.82,55.81,41.41,0
119.46,47.56,28.9,18.78,65.76,30.2,0
130.0,61.41,20.08,24.56,26.48,36.77,0
117.74,52.37,23.79,31.3,20.0,37.89,0
132.65,41.01,10.0,27.72,54.18,32.17,0
143.43,37.5,10.36,38.7,70.45,38.38,0
116.16,48.47,15.09,40.65,67.12,37.29,0
93.2,29.97,35.19,24.13,38.27,28.57,0
135.0,40.68,29.69,32.24,87.04,37.89,0
121.3,69.84,30.59,43.71,89.48,45.33,0
138.82,45.68,37.76,30.18,56.99,41.69,0
110.73,24.55,26.83,21.03,31.47,27.75,0
94.19,19.45,16.92,36.7,47.67,28.7,0
130.7,73.21,27.88,34.27,32.19,44.99,0
98.28,35.17,18.58,18.32,49.36,22.76,0
131.37,36.99,19.77,27.51,63.92,33.13,0
116.02,45.93,27.56,31.97,77.86,35.02,0
92.18,42.91,10.0,32.38,23.02,29.04,0
155.29,45.18,37.94,29.05,21.52,45.83,0
144.73,20.11,10.0,20.99,26.35,29.44,0
109.81,62.14,22.71,33.56,55.99,36.9,0
143.17,53.61,11.8,30.23,63.56,37.05,0
119.24,49.2,24.15,30.82,56.32,35.74,0
145.79,35.99,28.79,12.32,53.23,30.69,0
108.97,18.0,31.86,35.82,20.0,35.69,0
125.77,71.13,33.3,28.13,27.43,42.28,0
133.16,57.42,22.97,21.6,38.19,35.41,0
115.4,43.12,19.12,36.17,51.56,35.9,0
144.74,51.08,27.45,31.73,20.0,43.66,0
133.46,70.86,33.97,23.4,95.0,38.05,0
85.9,61.47,13.29,22.4,25.76,26.17,0
141.95,50.41,16.01,29.33,92.05,35.51,0
107.85,49.71,21.95,29.53,69.84,31.91,0
95.5,77.16,38.69,27.31,46.58,37.61,0
90.36,53.66,39.0,22.95,86.94,29.26,0
101.53,59.83,23.27,30.02,56.75,33.41,0
116.74,59.1,22.4,23.78,86.37,31.23,0
123.9,58.1,25.55,26.99,54.12,36.36,0
120.63,37.69,22.77,21.36,30.5,30.61,0
125.26,76.49,24.57,29.76,83.31,38.87,0
109.12,43.44,29.18,20.44,37.2,30.09,0
125.81,36.52,35.32,26.95,77.37,34.84,0
101.22,43.76,23.35,27.27,63.34,29.42,0
