pm25,pm10,no2,so2,co,o3,nh3,temperature,humidity,wind_speed,aqi_category
34.68,36.594,58.113,20.88,1.459,52.747,17.558,26.733,42.473,5.389,Moderate
48.396,82.792,23.497,25.288,1.16,32.639,30.396,27.603,39.349,4.547,Moderate
52.323,88.691,35.913,36.89,1.935,38.338,34.218,20.25,51.038,5.071,Moderate
70.043,129.682,38.732,42.924,1.109,23.11,29.015,17.392,51.23,0.318,Moderate
52.788,96.641,35.481,11.392,1.318,39.759,21.749,29.219,55.889,1.756,Moderate
27.095,20.0,42.197,24.039,0.487,36.014,14.222,44.0,41.736,3.759,Good
45.216,57.66,11.102,17.023,1.578,72.742,22.473,31.986,39.214,2.405,Moderate
28.203,29.84,57.795,35.214,1.425,14.41,26.535,29.311,51.744,4.295,Good
25.536,41.277,33.347,6.38,1.232,20.596,42.45,25.351,49.304,4.964,Good
40.303,81.944,45.541,19.501,0.331,19.41,33.438,41.249,78.129,1.614,Poor
133.058,164.956,71.19,25.534,2.196,32.589,9.351,35.221,96.0,2.696,Very Poor
30.578,29.649,60.782,2.0,0.954,38.346,43.475,28.295,93.364,2.746,Moderate
39.064,37.302,48.737,30.574,1.76,33.547,27.222,33.377,37.861,2.395,Moderate
42.481,81.644,25.346,17.704,1.902,63.286,10.446,38.437,45.017,3.693,Moderate
43.844,73.589,89.542,30.132,1.754,40.545,14.867,18.382,85.119,3.858,Moderate
13.516,20.0,46.409,31.718,0.769,55.447,33.755,32.619,63.094,4.766,Good
74.732,115.934,64.06,41.812,1.471,32.057,38.581,27.421,44.811,2.817,Moderate
21.271,46.77,19.137,32.935,1.155,26.597,16.442,28.738,42.037,2.134,Moderate
52.822,88.012,47.828,27.171,2.749,21.961,34.687,31.966,47.975,1.672,Poor
55.219,74.476,39.178,10.795,1.379,24.926,12.986,24.491,51.47,3.641,Moderate
49.986,50.912,76.359,15.589,1.653,44.855,34.571,22.782,57.975,3.236,Moderate
35.356,64.689,47.342,19.832,1.57,35.985,8.16,37.504,51.141,3.332,Moderate
66.545,69.746,73.979,27.669,1.687,15.008,28.475,31.45,42.026,6.096,Moderate
38.165,62.904,51.691,16.284,1.338,51.905,29.814,19.916,60.203,5.653,Moderate
61.08,126.813,49.848,27.395,1.813,24.829,17.958,28.639,74.849,3.371,Poor
102.357,153.064,47.316,20.929,2.575,66.657,37.619,19.216,96.0,1.763,Poor
104.513,133.466,36.117,25.27,2.072,18.428,23.872,30.529,61.779,2.733,Poor
59.672,100.055,62.401,14.454,1.698,52.756,42.39,38.567,67.793,2.142,Poor
13.142,35.892,59.528,28.343,1.069,20.438,28.751,25.875,96.0,2.873,Good
68.789,104.8,95.659,24.241,1.743,41.572,19.51,21.758,64.811,5.025,Poor
81.677,112.07,44.239,33.966,2.182,31.42,32.432,28.992,62.841,2.383,Poor
84.788,108.466,62.104,16.33,1.418,34.431,16.782,38.108,52.982,5.468,Moderate
87.767,102.784,46.798,24.235,1.741,31.889,42.533,28.722,26.852,4.628,Moderate
71.354,92.199,39.567,36.445,2.572,34.528,38.392,42.089,86.78,2.074,Poor
26.738,50.085,86.129,25.318,2.005,57.402,35.287,25.078,55.053,4.399,Moderate
24.287,25.013,69.923,12.846,1.225,51.198,24.597,30.518,62.231,2.333,Moderate
139.854,190.072,60.673,10.959,2.804,25.814,41.153,31.778,80.01,3.955,Very Poor
120.659,144.923,26.778,28.619,1.967,44.013,23.465,32.029,43.765,3.349,Poor
63.523,59.634,35.057,32.529,2.177,32.245,39.955,31.517,50.807,2.489,Moderate
14.759,30.133,46.252,14.189,1.404,48.084,25.917,18.907,57.651,4.518,Moderate
43.955,70.285,26.026,30.219,1.575,43.041,13.842,33.364,62.893,4.0,Moderate
9.393,20.0,24.699,27.696,1.386,16.255,27.169,15.679,38.228,3.215,Good
88.918,150.077,58.089,40.789,2.142,48.015,16.35,24.781,76.792,1.817,Poor
70.582,80.905,61.505,11.914,2.254,6.781,25.332,17.51,47.923,2.338,Poor
44.28,60.664,53.291,30.23,1.207,30.965,35.637,26.37,55.758,2.608,Moderate
81.957,86.35,68.752,37.889,1.533,17.449,22.361,32.625,52.042,2.312,Poor
73.463,92.352,47.634,38.151,1.488,35.263,21.322,28.707,45.639,3.078,Moderate
52.226,113.308,52.669,33.078,0.909,57.077,12.209,33.218,66.274,0.685,Good
36.256,47.295,50.879,21.238,2.248,42.782,47.678,32.936,53.972,1.911,Moderate
65.349,101.339,14.705,35.004,2.071,37.623,16.07,32.983,54.898,3.697,Moderate
16.17,31.527,63.91,16.634,2.322,10.803,26.889,30.8,63.129,4.402,Moderate
68.343,105.206,55.368,44.595,2.115,58.96,35.965,26.093,58.879,5.381,Moderate
33.362,42.941,51.875,30.042,1.909,40.46,31.396,35.335,39.902,1.747,Moderate
44.351,44.017,26.163,11.912,1.888,28.404,24.998,28.772,53.297,4.92,Moderate
32.588,39.058,59.829,16.998,1.031,42.535,34.644,34.551,44.372,3.632,Moderate
33.846,49.414,55.883,14.65,2.537,20.904,32.86,24.069,49.734,2.333,Moderate
68.805,118.979,32.185,13.532,1.043,31.592,54.887,33.475,53.013,5.156,Moderate
91.01,132.542,45.643,39.366,1.906,44.524,54.852,12.0,72.899,2.38,Poor
90.201,136.487,41.456,28.421,1.789,5.0,27.732,27.387,60.788,2.979,Poor
68.698,134.263,92.189,40.534,1.756,13.24,22.623,31.1,56.544,6.744,Poor
54.063,66.677,43.036,21.329,2.292,15.468,47.813,14.049,83.963,1.951,Poor
58.343,79.08,34.447,43.718,1.919,13.527,25.655,35.092,62.15,0.3,Very Poor
126.994,178.125,36.239,23.361,2.33,18.172,31.161,36.794,68.121,1.97,Very Poor
32.698,73.201,21.021,12.937,0.509,36.16,27.981,43.781,39.164,4.461,Moderate
38.303,47.609,46.4,29.916,1.405,5.0,27.234,20.447,35.811,3.76,Moderate
40.263,71.876,48.625,17.285,1.084,59.982,30.806,27.065,46.008,2.017,Moderate
63.29,99.527,15.251,18.777,1.112,31.712,25.548,33.422,34.372,4.765,Moderate
39.525,61.908,60.641,23.557,1.224,7.394,20.536,12.0,87.795,3.798,Moderate
14.066,24.835,17.685,13.767,1.419,28.331,20.387,28.685,28.232,3.669,Good
38.416,24.915,37.993,35.44,1.251,46.502,43.968,20.422,48.172,2.692,Good
86.441,146.237,35.926,16.403,1.968,55.93,32.822,25.719,40.543,3.022,Poor
72.532,113.5,58.278,23.634,1.122,37.52,18.442,28.92,64.889,4.06,Moderate
105.941,132.361,64.456,26.743,1.079,48.891,23.563,21.239,88.345,3.684,Poor
12.691,20.0,54.621,13.805,0.708,55.872,6.625,23.215,42.973,0.301,Good
21.941,29.728,40.891,35.285,2.129,55.738,20.359,31.167,41.098,4.258,Moderate
27.76,44.73,56.78,32.226,0.441,56.008,30.938,22.717,70.569,2.171,Good
93.017,122.973,58.215,49.464,2.455,25.829,23.441,32.491,74.846,0.3,Poor
63.332,100.482,66.018,27.562,1.893,26.049,19.797,27.862,51.701,1.554,Moderate
14.142,34.627,69.274,12.853,0.634,5.0,38.793,37.361,62.625,3.586,Good
46.376,70.322,36.47,22.453,1.63,34.147,27.171,32.242,96.0,6.669,Moderate
56.025,93.703,54.518,18.356,0.638,31.813,36.566,37.934,77.796,4.088,Moderate
54.076,66.84,14.844,23.704,1.174,38.212,70.79,23.987,59.74,2.628,Moderate
82.71,94.312,92.748,23.335,1.572,62.821,33.653,30.683,52.359,2.128,Poor
84.172,134.437,60.663,33.215,2.032,43.085,13.477,27.019,80.669,0.504,Poor
93.497,149.668,15.699,19.031,2.127,58.924,37.774,34.879,73.228,1.809,Poor
53.371,87.596,84.306,32.438,1.754,16.293,45.122,21.313,45.437,3.13,Moderate
51.929,75.254,40.97,28.825,2.607,18.24,12.163,18.193,81.091,4.896,Poor
73.898,95.07,68.264,24.878,1.229,51.668,32.802,38.561,60.695,2.498,Moderate
86.95,117.756,68.927,13.529,1.829,24.365,18.545,19.823,47.031,2.031,Poor
34.777,39.489,48.073,31.405,1.57,44.366,35.466,22.591,55.223,4.026,Moderate
11.67,20.0,62.665,13.161,1.058,18.884,28.938,19.931,55.479,3.91,Good
62.91,113.174,29.133,17.565,1.727,33.719,32.73,22.933,34.359,3.914,Poor
38.243,70.839,35.148,27.758,0.455,14.707,24.657,39.721,77.345,6.014,Moderate
110.436,176.511,56.704,44.079,2.759,33.075,49.906,24.059,49.321,3.478,Moderate
86.159,138.678,39.501,25.897,2.06,13.765,10.381,37.905,41.129,2.205,Poor
67.075,114.481,95.19,48.074,2.185,39.063,34.881,39.792,46.645,4.527,Poor
72.032,124.039,66.004,22.646,2.64,22.239,35.37,30.083,52.662,2.911,Moderate
73.567,120.518,58.12,30.958,1.776,15.169,28.465,21.473,72.593,1.795,Poor
44.471,56.883,19.961,21.942,2.52,24.81,42.95,28.974,55.736,1.7,Moderate
90.051,109.048,47.878,23.895,1.76,59.489,34.982,19.234,78.657,4.325,Moderate
89.584,101.886,53.332,28.91,1.92,44.916,14.503,34.231,79.303,2.388,Poor
22.945,32.831,42.017,11.989,1.511,9.342,44.657,24.433,53.042,6.3,Moderate
23.35,39.466,36.981,11.653,1.935,40.496,25.463,30.885,75.523,7.99,Moderate
49.603,45.675,49.497,19.27,1.893,18.668,16.909,19.057,53.708,4.612,Moderate
92.016,174.339,49.415,26.712,2.153,5.0,40.888,21.1,27.923,2.17,Poor
35.84,61.463,57.563,4.06,1.265,46.005,35.286,34.055,44.042,1.883,Moderate
40.866,69.753,57.19,32.833,2.204,30.79,40.467,20.607,84.165,1.381,Moderate
42.948,53.897,55.554,20.401,0.839,22.198,23.947,26.583,38.057,4.272,Moderate
45.87,73.078,62.975,29.99,1.269,13.395,41.793,23.88,49.738,3.138,Moderate
32.366,52.561,52.905,40.675,1.167,33.248,23.296,30.987,18.0,2.088,Moderate
62.089,133.51,46.307,15.198,1.953,47.933,32.073,26.136,80.969,1.099,Poor
16.68,20.0,58.641,25.76,1.615,50.474,30.754,27.742,62.801,4.353,Moderate
93.12,147.736,45.192,23.176,2.267,42.814,17.37,33.931,60.917,7.187,Poor
23.453,48.744,50.615,26.933,1.34,25.582,25.971,13.93,50.242,2.753,Moderate
58.649,63.232,50.974,27.603,2.647,26.065,33.684,35.429,69.418,3.167,Poor
73.836,106.993,36.519,17.116,2.136,41.881,17.035,33.603,82.954,1.149,Poor
8.0,20.0,9.428,15.58,2.081,57.325,3.23,23.597,29.269,0.804,Good
47.728,63.968,52.717,30.358,2.424,17.509,31.39,40.5,65.171,1.259,Poor
110.541,126.79,44.509,13.804,3.442,24.507,8.406,41.153,93.345,3.15,Very Poor
36.758,85.177,37.585,18.267,0.653,40.869,43.387,37.221,67.708,1.31,Moderate
25.351,22.377,51.427,25.762,1.59,23.477,25.957,32.577,58.335,4.399,Good
34.049,43.24,20.518,24.507,2.119,5.0,28.6,33.814,47.802,5.95,Moderate
34.304,55.06,46.122,39.071,1.668,50.291,31.577,31.57,63.122,2.404,Moderate
20.147,25.512,49.683,15.744,1.745,72.051,42.544,19.58,41.381,1.253,Moderate
61.074,93.329,54.053,5.856,1.158,27.622,22.07,28.204,39.115,3.792,Moderate
96.831,146.436,21.687,18.383,2.246,16.473,47.437,36.77,86.729,0.723,Poor
47.184,54.632,45.153,21.695,1.271,40.091,40.925,24.314,48.102,2.941,Moderate
183.871,274.478,58.666,48.591,3.67,46.909,44.636,23.163,59.792,6.566,Very Poor
37.72,57.448,63.467,40.6,1.056,35.688,18.766,31.15,93.375,0.3,Moderate
64.251,137.591,20.089,16.984,1.173,42.307,36.592,26.175,48.925,4.304,Moderate
15.573,20.0,74.419,21.116,1.534,28.064,40.536,41.53,43.926,2.965,Moderate
52.038,65.189,24.985,22.132,1.327,39.468,29.556,27.459,68.455,3.514,Moderate
134.866,171.192,59.937,17.081,2.287,20.021,37.062,24.845,58.544,1.26,Very Poor
29.476,55.176,29.177,16.024,1.381,30.521,51.803,24.033,74.986,2.474,Moderate
66.558,104.632,52.34,28.475,1.357,25.987,20.395,31.193,96.0,3.348,Moderate
65.306,84.44,59.789,30.768,2.012,45.223,30.968,26.021,63.197,2.548,Moderate
70.594,94.438,51.87,32.29,1.915,25.719,43.814,34.207,74.103,1.528,Moderate
48.358,47.623,18.635,3.723,1.357,39.19,22.203,33.313,62.615,6.438,Moderate
43.06,86.291,37.607,15.7,2.066,31.066,63.755,21.655,53.983,3.111,Moderate
78.356,144.445,33.392,2.0,2.389,51.559,52.106,29.316,18.0,2.341,Poor
14.681,42.493,65.022,8.179,1.227,37.798,29.731,29.243,52.029,1.962,Good
20.029,20.0,42.771,17.929,1.42,53.914,9.029,26.662,62.043,2.013,Good
44.426,90.054,57.207,18.26,1.645,57.492,14.058,24.483,50.942,2.453,Moderate
58.339,72.342,84.045,30.705,1.743,38.157,31.629,36.71,70.038,3.947,Moderate
37.645,82.17,38.604,28.618,1.52,24.666,18.354,25.949,31.388,3.426,Moderate
68.853,107.248,47.822,32.916,1.566,13.321,25.992,17.08,63.636,0.3,Moderate
53.363,97.208,6.0,32.586,2.346,33.935,38.654,25.847,79.38,5.137,Moderate
83.285,151.976,61.522,33.943,1.926,22.234,35.188,40.914,84.962,2.261,Poor
72.061,102.477,69.042,38.229,1.674,25.219,51.592,29.823,57.142,5.961,Poor
76.033,114.958,46.311,38.447,1.787,53.949,34.867,26.051,44.768,1.7,Poor
86.892,146.046,16.613,20.762,2.584,28.94,39.02,28.588,90.655,3.176,Poor
25.187,37.218,51.798,44.631,1.755,20.625,38.576,25.955,66.794,3.318,Moderate
33.169,59.013,47.84,30.556,1.313,5.0,39.046,36.738,32.344,5.464,Moderate
73.913,103.754,76.732,33.535,2.669,32.602,57.867,37.248,45.411,0.561,Poor
51.672,76.894,66.289,31.092,0.991,27.018,33.621,34.907,46.325,3.821,Moderate
61.999,92.254,31.582,13.491,2.159,41.363,47.579,30.905,64.606,7.37,Moderate
131.316,150.656,84.011,23.021,2.827,26.234,41.778,31.728,62.313,1.169,Very Poor
71.958,92.19,97.312,33.207,2.024,40.581,46.767,30.306,52.438,0.3,Poor
42.501,29.058,72.303,41.96,0.971,13.563,26.914,35.886,63.098,4.046,Moderate
171.276,297.236,65.024,17.975,3.158,5.0,13.392,20.041,67.459,1.736,Very Poor
84.51,117.61,37.085,30.159,1.652,45.065,49.946,33.525,37.715,0.708,Moderate
63.249,137.821,61.458,13.16,2.783,52.337,23.821,29.656,56.489,3.451,Poor
22.118,32.987,56.312,30.392,2.124,25.519,8.092,14.704,42.794,4.999,Moderate
41.108,53.505,53.129,18.927,1.117,35.403,31.313,27.429,66.713,4.832,Moderate
62.466,104.624,74.747,19.984,1.915,31.126,28.14,28.863,56.809,0.3,Poor
79.201,146.107,57.811,26.952,2.124,36.176,37.733,26.849,45.318,6.892,Poor
43.999,69.338,48.835,14.585,1.087,26.063,41.607,29.445,70.362,1.128,Moderate
25.452,37.117,21.997,23.611,0.575,32.203,42.41,17.803,77.877,0.967,Good
37.858,66.26,54.04,22.328,1.741,64.552,27.13,32.962,70.358,3.954,Moderate
46.062,69.037,56.899,13.376,1.919,39.035,22.939,29.534,45.677,5.014,Moderate
65.772,92.19,49.978,33.079,1.449,37.058,29.992,29.76,73.475,4.338,Moderate
67.757,93.349,51.971,26.82,1.263,50.272,19.256,33.014,30.987,2.318,Poor
80.857,88.97,6.0,25.929,2.004,18.782,43.479,31.322,29.348,3.394,Moderate
70.5,97.456,88.988,28.597,1.815,37.593,44.598,34.637,37.546,2.789,Poor
95.727,130.562,48.853,32.43,2.103,47.88,43.48,24.66,46.045,3.348,Poor
81.308,132.238,40.074,19.603,2.1,41.917,48.226,32.13,50.303,2.891,Poor
68.157,96.618,52.194,18.026,2.44,20.018,36.957,33.648,61.196,2.943,Poor
71.836,80.66,44.782,10.828,2.514,16.511,28.952,23.756,64.52,3.027,Poor
26.439,54.166,37.872,18.448,1.473,59.502,19.967,37.953,56.043,5.186,Moderate
96.007,158.133,35.582,19.518,1.508,48.021,41.332,29.519,64.073,1.605,Poor
106.351,98.232,76.834,34.804,2.289,15.289,25.809,29.805,65.258,4.289,Poor
30.43,32.578,35.61,14.488,1.071,38.779,50.729,21.454,54.675,3.245,Moderate
108.793,191.59,35.608,22.66,2.454,14.205,36.287,26.726,63.515,2.729,Poor
47.71,63.169,31.67,20.898,1.68,28.171,27.72,23.153,62.484,3.855,Moderate
26.114,58.683,37.404,32.495,1.754,31.69,39.336,31.64,64.203,0.883,Moderate
29.36,41.177,36.777,12.951,1.299,8.893,38.946,33.409,25.506,0.3,Moderate
99.514,132.378,49.887,25.071,1.778,18.69,50.898,28.583,65.812,4.026,Poor
34.38,55.008,32.56,19.824,0.307,42.263,31.932,31.763,87.913,0.979,Moderate
8.0,36.633,65.03,31.683,0.684,24.271,42.614,33.185,27.471,3.286,Good
18.015,24.563,40.821,17.667,1.626,40.368,24.042,31.093,44.698,3.116,Good
84.477,106.998,32.427,38.905,2.371,38.151,51.678,30.396,44.795,3.815,Poor
64.638,104.903,68.773,28.934,2.038,19.84,49.875,20.42,60.652,1.603,Poor
48.104,84.955,65.048,17.272,1.792,40.774,24.474,28.807,42.785,3.634,Moderate
47.45,63.91,28.528,12.371,0.675,5.0,37.72,17.416,37.82,3.761,Good
108.862,202.601,53.794,28.818,1.964,30.807,46.32,32.749,74.365,2.352,Very Poor
67.886,66.724,31.121,17.379,2.137,32.31,22.524,31.789,66.116,4.35,Poor
76.091,101.944,68.935,7.138,1.984,41.773,35.306,29.397,45.177,3.282,Poor
9.16,23.235,53.87,20.89,1.802,36.577,16.062,37.746,69.272,3.479,Moderate
20.933,62.109,63.549,25.522,1.985,30.812,18.623,28.931,29.458,3.203,Moderate
42.27,74.005,21.739,11.89,1.475,19.099,46.03,29.46,96.0,3.315,Moderate
64.829,104.148,57.667,22.518,2.37,5.0,9.943,35.223,61.283,3.929,Poor
65.749,63.307,45.164,21.558,1.018,29.532,38.312,32.993,49.341,1.267,Moderate
29.215,37.542,19.492,28.959,1.744,26.196,21.848,24.091,43.997,3.999,Moderate
17.014,22.312,46.73,32.596,1.542,30.983,18.016,32.1,53.539,4.559,Good
77.164,130.109,47.749,17.028,1.593,42.387,33.57,21.842,26.076,1.127,Moderate
70.716,100.605,34.521,12.408,1.963,34.408,28.624,19.778,27.397,6.371,Moderate
64.963,70.405,55.965,36.368,1.57,48.655,31.639,30.128,71.714,4.169,Moderate
70.219,139.114,63.05,22.475,1.906,42.109,52.65,36.612,45.11,2.978,Poor
28.655,49.762,56.694,17.433,1.084,24.378,30.204,16.682,56.911,0.3,Moderate
75.524,97.6,92.266,31.701,1.963,38.302,42.52,32.259,58.749,0.3,Poor
72.249,94.833,73.166,26.253,1.514,42.527,28.181,31.677,46.512,2.47,Moderate
30.467,43.01,44.156,26.488,1.522,48.761,7.048,33.616,47.19,3.118,Moderate
60.504,90.774,16.092,8.887,0.938,31.149,47.89,23.749,69.615,3.53,Moderate
113.296,179.16,54.883,28.447,2.099,35.772,51.897,28.71,26.045,7.111,Poor
35.262,77.517,52.731,23.278,1.348,35.916,33.055,35.038,59.196,0.3,Moderate
119.588,196.71,37.873,27.459,2.408,41.225,25.443,40.897,74.574,4.102,Very Poor
64.89,96.866,37.723,26.751,1.622,60.502,48.323,32.135,62.271,2.442,Moderate
53.155,70.486,76.736,6.266,0.907,64.351,38.833,21.686,65.701,3.48,Moderate
28.553,61.354,52.796,9.235,1.683,5.0,41.334,27.905,40.571,2.584,Moderate
76.551,115.844,65.538,6.334,1.608,24.224,23.515,39.577,46.313,4.338,Poor
59.948,105.65,60.091,26.445,1.868,16.017,23.405,33.135,76.62,4.09,Moderate
66.202,102.862,61.15,8.866,1.553,56.472,14.478,26.921,54.184,1.538,Poor
71.956,93.175,59.959,33.917,2.545,31.439,22.065,32.785,26.367,5.118,Poor
86.598,87.47,65.739,20.954,1.699,5.0,39.693,32.91,61.385,1.672,Poor
61.992,117.722,59.617,35.965,1.708,30.249,26.881,33.386,94.16,3.912,Poor
51.276,63.434,38.563,25.455,1.381,28.698,45.711,40.199,86.893,1.551,Moderate
65.573,137.052,69.562,15.168,2.016,44.976,38.796,31.217,29.563,4.162,Poor
120.588,232.175,20.402,35.927,2.15,11.493,37.645,28.601,49.532,4.155,Poor
153.917,151.42,47.245,16.551,3.427,39.029,50.519,26.386,41.788,2.389,Very Poor
68.384,63.309,47.654,21.814,2.415,24.729,33.119,29.799,76.46,4.245,Poor
23.784,50.645,19.798,41.925,1.769,24.292,37.837,31.165,35.924,2.058,Moderate
37.368,81.275,30.148,24.106,1.866,48.589,37.817,27.922,45.062,5.879,Moderate
47.558,79.959,19.817,33.236,1.097,31.578,34.212,34.096,55.4,2.046,Moderate
87.566,152.894,33.979,26.06,1.71,39.506,19.061,21.736,41.382,2.46,Poor
145.153,213.178,49.864,19.033,2.548,39.041,37.735,30.363,30.159,5.288,Very Poor
48.229,98.938,60.53,31.143,1.763,45.526,21.59,24.094,50.832,5.886,Moderate
32.12,46.987,17.344,13.945,1.852,25.676,25.885,26.013,73.992,4.47,Good
142.149,106.124,51.454,35.374,3.353,52.213,22.651,36.806,65.952,1.35,Very Poor
49.467,97.744,51.801,25.15,2.037,30.392,32.734,33.489,76.654,4.269,Moderate
24.998,53.105,23.499,20.219,1.199,24.293,30.903,22.408,29.531,4.595,Good
78.493,108.147,35.015,35.287,2.337,39.024,45.454,29.235,52.294,1.198,Poor
56.948,92.191,63.461,36.386,0.943,29.786,53.373,26.664,72.506,4.382,Moderate
10.756,20.0,41.365,28.803,1.558,35.84,25.923,42.566,63.17,2.858,Moderate
51.784,71.173,25.343,31.823,2.273,47.649,29.663,34.796,51.978,4.56,Poor
60.324,82.526,41.298,22.305,2.331,16.183,11.174,23.047,35.109,6.038,Moderate
74.694,108.055,26.435,46.663,2.57,36.26,11.073,20.455,30.828,2.559,Poor
54.118,101.517,37.834,38.443,2.031,34.764,41.552,23.851,49.343,5.655,Poor
63.161,105.086,61.363,26.632,1.854,34.125,23.264,31.684,64.648,2.816,Moderate
15.278,47.814,52.386,44.372,1.255,27.829,24.069,33.781,55.774,0.3,Poor
18.631,38.031,23.379,18.087,2.19,13.295,30.452,31.468,51.919,7.165,Moderate
94.172,140.404,62.901,30.345,2.438,32.711,18.94,43.215,53.313,6.01,Poor
17.194,35.401,37.75,25.026,1.67,21.763,31.35,22.547,63.515,1.459,Moderate
15.66,32.15,45.435,22.209,2.372,31.647,35.772,30.427,56.11,3.477,Moderate
36.539,61.151,43.481,19.628,1.532,50.463,26.594,26.205,31.708,0.804,Moderate
37.144,61.903,23.323,23.009,1.371,53.012,41.775,23.477,33.832,4.893,Moderate
23.977,31.685,91.736,29.372,1.245,25.926,33.921,21.154,66.828,3.152,Good
63.46,67.425,70.163,24.11,1.829,41.862,16.886,35.254,57.582,4.736,Poor
30.498,42.177,64.483,18.976,1.487,5.0,21.607,24.657,58.792,1.665,Moderate
45.262,67.93,54.115,12.832,1.675,38.834,28.587,35.254,65.383,3.688,Poor
46.414,68.8,16.097,11.145,2.126,66.29,22.9,26.698,61.602,4.05,Moderate
53.172,90.977,83.703,6.317,1.251,20.244,21.139,27.281,23.972,1.883,Moderate
64.808,85.929,20.404,25.049,1.529,51.858,30.26,24.554,68.918,0.916,Poor
66.768,129.818,60.469,16.725,1.641,37.327,49.582,28.63,42.957,3.153,Poor
155.602,248.811,50.986,20.702,2.539,40.575,42.016,23.369,81.275,3.1,Very Poor
39.876,75.859,20.619,30.836,1.781,31.835,37.965,18.565,65.224,5.922,Moderate
100.328,80.851,70.646,23.402,1.918,47.635,34.236,38.948,59.518,3.199,Poor
50.052,61.453,49.589,29.054,1.888,57.241,40.344,31.592,38.951,4.209,Moderate
61.671,61.764,64.685,20.929,1.505,37.425,22.67,26.183,46.336,4.005,Moderate
138.633,111.632,44.219,25.296,2.843,27.611,35.83,31.957,82.185,1.158,Very Poor
36.707,57.017,46.766,44.559,2.227,28.522,42.702,24.116,18.0,2.214,Moderate
79.898,122.975,33.35,40.264,1.991,30.539,51.736,29.998,71.796,0.801,Poor
60.878,108.889,24.617,16.044,2.055,34.335,48.374,32.741,83.883,1.689,Moderate
22.946,38.787,29.938,17.473,1.379,27.069,11.421,41.806,65.285,0.3,Moderate
76.245,132.074,16.746,6.674,1.718,36.89,38.957,44.0,38.22,1.875,Poor
84.721,65.755,71.345,17.46,2.51,36.961,3.876,40.686,49.48,0.3,Poor
52.186,35.214,110.836,31.317,2.322,17.481,39.247,26.764,52.584,4.091,Poor
