weather,visibility,road_type,lighting,traffic_density,speed_limit,time_of_day,accident_risk
Drizzle,6.059,Urban,Night-lit,High,40,Night,Medium
Clear,4.587,Rural,Night-unlit,Medium,100,Night,High
Rain,7.045,Urban,Daylight,High,30,Morning,Medium
Fog,3.729,Intersection,Night-unlit,High,60,Evening,High
Clear,5.867,Urban,Night-lit,Low,80,Morning,Medium
Clear,1.254,Urban,Daylight,High,80,Evening,High
Clear,3.7,Highway,Daylight,Medium,50,Morning,Medium
Drizzle,6.234,Highway,Night-unlit,Medium,40,Morning,Medium
Drizzle,6.394,Highway,Daylight,Medium,60,Evening,Low
Clear,6.707,Urban,Daylight,Very High,50,Morning,Medium
Drizzle,5.156,Urban,Night-unlit,Low,80,Morning,Medium
Drizzle,6.581,Intersection,Daylight,Low,60,Morning,Medium
Drizzle,5.045,Intersection,Night-unlit,High,60,Evening,High
Drizzle,4.218,Urban,Daylight,Very High,60,Morning,Medium
Rain,5.467,Urban,Night-lit,Low,60,Night,Medium
Rain,4.515,Urban,Daylight,Low,100,Afternoon,Medium
Drizzle,5.191,Intersection,Night-unlit,High,30,Afternoon,High
Clear,4.107,Urban,Daylight,Low,50,Morning,Low
Fog,7.958,Urban,Daylight,Very High,80,Morning,High
Rain,1.619,Intersection,Daylight,Very High,30,Night,High
Rain,3.787,Intersection,Night-lit,Very High,50,Morning,High
Clear,7.844,Rural,Daylight,Very High,40,Morning,Low
Fog,2.852,Urban,Night-lit,Medium,60,Night,High
Drizzle,6.834,Highway,Night-unlit,Medium,30,Night,Medium
Rain,4.141,Urban,Daylight,High,60,Morning,High
Clear,4.002,Highway,Night-lit,Medium,50,Morning,Medium
Clear,5.967,Rural,Dawn/Dusk,Medium,80,Evening,Medium
Rain,6.544,Highway,Daylight,Low,50,Evening,Medium
Clear,4.949,Urban,Daylight,Medium,80,Morning,Medium
Clear,9.844,Urban,Night-unlit,Medium,60,Afternoon,Medium
Drizzle,3.845,Intersection,Night-unlit,Medium,60,Night,High
Drizzle,6.811,Intersection,Night-lit,High,40,Afternoon,Medium
Drizzle,3.774,Urban,Dawn/Dusk,Very High,30,Night,Medium
Rain,8.316,Urban,Night-lit,High,60,Morning,High
Clear,5.514,Rural,Night-lit,Medium,50,Night,Medium
Drizzle,5.612,Urban,Daylight,Medium,30,Evening,Low
Drizzle,3.395,Urban,Daylight,Medium,50,Night,High
Rain,6.705,Urban,Night-unlit,Medium,50,Night,High
Clear,2.078,Urban,Daylight,Medium,50,Night,Medium
Rain,3.925,Highway,Night-lit,Medium,60,Morning,High
Fog,5.037,Highway,Dawn/Dusk,Medium,40,Evening,High
Clear,3.026,Urban,Dawn/Dusk,Medium,60,Night,High
Clear,3.382,Rural,Daylight,High,80,Afternoon,Medium
Storm,6.125,Highway,Night-unlit,High,60,Evening,High
Rain,4.497,Urban,Daylight,Low,80,Morning,Medium
Rain,5.741,Highway,Daylight,High,40,Morning,Medium
Drizzle,5.867,Intersection,Daylight,Medium,80,Afternoon,Medium
Clear,6.965,Urban,Night-lit,Medium,60,Evening,Medium
Clear,6.085,Rural,Daylight,Low,60,Night,Medium
Drizzle,7.372,Highway,Daylight,Medium,100,Afternoon,Medium
Drizzle,6.186,Highway,Night-lit,Medium,60,Night,Medium
Drizzle,4.959,Highway,Daylight,High,80,Afternoon,Medium
Fog,4.335,Urban,Daylight,Very High,40,Morning,Medium
Rain,6.099,Highway,Night-unlit,Low,30,Night,High
Storm,7.076,Urban,Night-unlit,High,30,Evening,High
Drizzle,4.701,Highway,Night-unlit,High,30,Night,Medium
Drizzle,7.689,Intersection,Dawn/Dusk,High,40,Afternoon,Medium
Fog,7.916,Urban,Daylight,Medium,50,Morning,Medium
Clear,5.164,Rural,Daylight,High,80,Afternoon,Medium
Rain,5.531,Urban,Daylight,Very High,60,Evening,High
Drizzle,7.294,Highway,Night-lit,Medium,60,Night,High
Clear,3.6,Urban,Night-lit,Medium,80,Afternoon,Medium
Rain,2.801,Urban,Daylight,Medium,80,Evening,High
Clear,6.263,Rural,Daylight,Very High,80,Afternoon,Medium
Rain,5.849,Urban,Night-lit,High,100,Evening,High
Clear,8.006,Urban,Daylight,Medium,80,Evening,Medium
Storm,3.785,Rural,Daylight,Medium,100,Evening,High
Clear,0.4,Rural,Daylight,Low,60,Night,Medium
Clear,7.013,Highway,Night-lit,Very High,100,Afternoon,High
Fog,2.218,Rural,Daylight,High,50,Evening,High
Rain,4.974,Urban,Night-lit,Medium,50,Afternoon,High
Rain,7.408,Intersection,Dawn/Dusk,High,50,Night,High
Clear,2.578,Highway,Night-lit,Medium,40,Evening,High
Clear,3.619,Intersection,Daylight,Medium,60,Afternoon,Medium
Drizzle,4.03,Urban,Night-lit,Medium,60,Night,High
Drizzle,10.0,Highway,Daylight,Low,40,Afternoon,Low
Drizzle,1.535,Urban,Night-lit,Medium,30,Morning,Medium
Clear,5.616,Highway,Daylight,Medium,50,Morning,Low
Drizzle,5.774,Rural,Dawn/Dusk,Low,40,Night,Medium
Rain,7.53,Rural,Dawn/Dusk,Very High,60,Evening,High
Fog,8.426,Highway,Night-lit,Low,40,Afternoon,Medium
Drizzle,6.926,Rural,Night-lit,Low,80,Night,Medium
Rain,6.36,Intersection,Daylight,High,80,Night,High
Drizzle,4.457,Highway,Night-lit,Medium,60,Afternoon,Medium
Drizzle,5.521,Highway,Night-lit,Very High,40,Evening,High
Clear,7.395,Intersection,Dawn/Dusk,Low,60,Morning,Medium
Clear,5.754,Highway,Daylight,High,50,Evening,Medium
Drizzle,4.926,Urban,Daylight,Low,30,Night,Low
Clear,6.397,Intersection,Night-lit,High,30,Morning,Medium
Rain,3.701,Highway,Dawn/Dusk,High,50,Morning,Medium
Fog,4.394,Highway,Night-lit,Very High,40,Evening,High
Rain,7.184,Highway,Night-lit,Medium,40,Night,Medium
Rain,9.263,Urban,Daylight,Medium,80,Night,High
Clear,5.171,Urban,Daylight,High,40,Night,Medium
Fog,5.408,Intersection,Night-lit,High,50,Morning,High
Clear,1.518,Rural,Daylight,Medium,80,Night,Medium
Rain,5.62,Urban,Night-unlit,High,60,Morning,High
Drizzle,8.033,Rural,Daylight,Medium,30,Morning,Low
Clear,7.125,Urban,Daylight,Medium,60,Afternoon,Low
Clear,3.163,Urban,Daylight,Very High,60,Evening,High
Clear,6.876,Highway,Night-lit,High,40,Afternoon,Medium
Storm,8.668,Rural,Daylight,Low,50,Evening,Medium
Storm,5.08,Urban,Daylight,Medium,60,Afternoon,Medium
Clear,9.352,Rural,Daylight,High,60,Evening,Medium
Drizzle,3.172,Highway,Daylight,Medium,80,Morning,Medium
Storm,6.199,Urban,Daylight,High,60,Afternoon,High
Clear,7.224,Urban,Daylight,Very High,30,Morning,Low
Rain,1.874,Highway,Daylight,Medium,40,Night,High
Rain,1.844,Urban,Night-lit,Low,80,Afternoon,High
Fog,5.848,Rural,Night-unlit,Very High,80,Evening,High
Fog,7.015,Urban,Dawn/Dusk,Low,60,Evening,Medium
Drizzle,4.967,Urban,Night-lit,High,50,Morning,Medium
Fog,8.168,Highway,Daylight,High,50,Afternoon,Medium
Rain,5.96,Highway,Night-lit,Low,100,Afternoon,High
Drizzle,2.545,Highway,Daylight,Medium,60,Afternoon,Medium
Clear,3.08,Intersection,Night-unlit,Low,30,Afternoon,High
Drizzle,5.63,Rural,Dawn/Dusk,Medium,60,Night,Medium
Clear,8.305,Rural,Dawn/Dusk,Very High,40,Morning,Medium
Clear,4.176,Rural,Night-lit,High,60,Afternoon,Medium
Fog,8.099,Intersection,Daylight,Low,100,Morning,High
Rain,4.704,Rural,Daylight,Medium,100,Afternoon,High
Clear,5.296,Urban,Daylight,High,40,Evening,Medium
Rain,7.885,Urban,Night-unlit,High,50,Night,High
Rain,3.81,Urban,Night-lit,High,30,Morning,Medium
Storm,4.351,Highway,Dawn/Dusk,High,50,Night,High
Clear,6.182,Urban,Daylight,Medium,80,Night,Medium
Drizzle,8.033,Intersection,Night-unlit,Very High,60,Morning,High
Clear,4.491,Urban,Night-lit,Medium,60,Morning,Medium
Drizzle,8.782,Intersection,Dawn/Dusk,High,30,Afternoon,Medium
Rain,8.132,Highway,Daylight,High,40,Morning,Medium
Drizzle,4.243,Highway,Night-lit,High,80,Morning,High
Clear,6.032,Urban,Night-unlit,Medium,60,Evening,Medium
Clear,6.988,Highway,Night-lit,High,50,Morning,Medium
Drizzle,4.066,Urban,Night-lit,Medium,50,Evening,Medium
Rain,4.581,Urban,Daylight,Very High,100,Morning,High
Clear,0.4,Urban,Night-lit,Medium,50,Afternoon,High
Rain,7.215,Highway,Daylight,Medium,100,Night,Medium
Rain,8.08,Rural,Night-unlit,Medium,50,Night,Medium
Fog,9.616,Highway,Daylight,High,40,Evening,Medium
Clear,6.192,Rural,Dawn/Dusk,Low,100,Morning,Medium
Rain,4.205,Highway,Night-lit,High,100,Evening,High
Rain,4.108,Rural,Night-unlit,High,50,Morning,High
Fog,3.249,Intersection,Daylight,High,60,Afternoon,High
Drizzle,7.041,Highway,Daylight,Low,80,Evening,Medium
Storm,3.278,Intersection,Night-unlit,Low,40,Evening,High
Clear,6.368,Highway,Night-lit,Medium,40,Morning,Medium
Clear,4.532,Rural,Daylight,Medium,50,Afternoon,Low
Rain,6.211,Highway,Daylight,High,60,Night,High
Clear,5.04,Urban,Daylight,Medium,60,Evening,Medium
Rain,5.029,Urban,Daylight,Medium,100,Morning,High
Clear,8.269,Rural,Dawn/Dusk,High,40,Morning,Medium
Rain,1.622,Rural,Night-lit,Low,60,Afternoon,High
Drizzle,2.484,Urban,Dawn/Dusk,Medium,60,Evening,High
Clear,3.348,Urban,Night-lit,Low,40,Evening,Medium
Clear,5.636,Highway,Daylight,Very High,80,Night,High
Clear,4.208,Urban,Daylight,Medium,50,Night,Medium
Drizzle,5.033,Highway,Daylight,Low,60,Morning,Low
Rain,7.752,Highway,Daylight,Low,80,Morning,Medium
Rain,4.509,Rural,Night-unlit,Very High,60,Afternoon,High
Storm,5.378,Urban,Dawn/Dusk,Very High,80,Morning,High
Drizzle,6.526,Urban,Dawn/Dusk,Medium,80,Night,High
Drizzle,2.608,Rural,Dawn/Dusk,Medium,50,Morning,Medium
Rain,8.013,Rural,Dawn/Dusk,Medium,80,Morning,High
Rain,1.964,Urban,Night-unlit,Medium,80,Night,High
Storm,5.694,Urban,Night-lit,Very High,30,Morning,High
Rain,9.131,Highway,Dawn/Dusk,High,50,Morning,Medium
Clear,8.76,Intersection,Night-unlit,Very High,60,Morning,High
Storm,4.374,Rural,Night-lit,High,80,Night,High
Fog,2.75,Highway,Night-lit,High,40,Night,High
Rain,4.531,Urban,Night-unlit,Very High,60,Evening,High
Rain,6.992,Intersection,Night-unlit,Medium,50,Morning,High
Drizzle,7.098,Intersection,Dawn/Dusk,Very High,80,Afternoon,High
Drizzle,4.125,Rural,Night-unlit,Medium,40,Night,High
Rain,7.194,Urban,Night-lit,Very High,50,Afternoon,High
Clear,2.391,Highway,Daylight,Medium,100,Night,High
Clear,2.684,Intersection,Daylight,Medium,80,Night,High
Rain,4.534,Highway,Night-lit,High,50,Morning,High
Clear,4.257,Intersection,Dawn/Dusk,Very High,30,Morning,Medium
Fog,4.739,Highway,Dawn/Dusk,High,60,Afternoon,High
Rain,5.08,Urban,Daylight,High,40,Morning,Medium
Rain,4.672,Highway,Daylight,Medium,60,Night,Medium
Clear,6.423,Urban,Night-lit,Very High,40,Evening,Medium
Clear,5.047,Urban,Daylight,Medium,60,Night,Medium
Clear,10.0,Rural,Dawn/Dusk,High,50,Morning,Medium
Rain,7.114,Urban,Daylight,High,50,Evening,Medium
Clear,3.794,Urban,Night-unlit,Low,40,Afternoon,Medium
Clear,8.636,Rural,Daylight,High,100,Evening,Medium
Drizzle,9.245,Intersection,Daylight,Very High,80,Night,High
Drizzle,7.594,Urban,Daylight,Low,50,Afternoon,Low
Clear,10.0,Urban,Night-lit,Medium,50,Evening,Medium
Clear,7.671,Intersection,Daylight,High,60,Afternoon,Medium
Drizzle,8.628,Urban,Night-unlit,Very High,60,Morning,High
Clear,3.499,Highway,Daylight,Medium,80,Afternoon,Medium
Clear,4.645,Rural,Night-lit,High,60,Morning,Medium
Rain,4.41,Rural,Night-lit,High,60,Evening,High
Rain,4.963,Urban,Daylight,High,40,Afternoon,Medium
Drizzle,6.353,Intersection,Daylight,High,30,Afternoon,Medium
Drizzle,3.304,Highway,Night-lit,High,50,Afternoon,Medium
Rain,6.664,Urban,Daylight,Low,60,Evening,Medium
Drizzle,7.206,Highway,Night-lit,Very High,50,Morning,Medium
Clear,6.3,Urban,Daylight,Very High,50,Morning,Medium
Rain,6.38,Highway,Night-unlit,Low,40,Morning,Medium
Clear,5.714,Urban,Night-lit,Medium,60,Night,Medium
Fog,4.068,Urban,Night-lit,High,30,Night,High
Drizzle,3.991,Highway,Daylight,High,50,Night,High
Drizzle,1.474,Rural,Daylight,High,50,Night,High
Clear,4.157,Urban,Daylight,Very High,50,Morning,Medium
Fog,4.63,Rural,Daylight,Medium,50,Afternoon,Medium
Clear,7.771,Urban,Daylight,High,80,Night,Medium
Rain,5.469,Rural,Dawn/Dusk,Medium,30,Evening,Medium
Rain,4.943,Urban,Night-lit,Low,40,Morning,Medium
Clear,7.264,Intersection,Daylight,Low,50,Morning,Medium
Clear,2.381,Urban,Dawn/Dusk,Medium,80,Evening,High
Drizzle,5.858,Highway,Daylight,Medium,40,Afternoon,Low
Clear,5.699,Urban,Dawn/Dusk,Medium,50,Morning,Medium
Rain,9.414,Intersection,Night-lit,Medium,40,Evening,High
Clear,1.016,Urban,Night-lit,Low,60,Morning,High
Clear,7.874,Rural,Daylight,High,80,Afternoon,Medium
Drizzle,4.692,Highway,Dawn/Dusk,High,60,Night,High
Drizzle,6.655,Urban,Dawn/Dusk,Medium,40,Evening,Low
Clear,5.513,Rural,Daylight,Very High,40,Afternoon,Medium
Rain,6.377,Urban,Night-lit,Low,60,Morning,Medium
Drizzle,4.332,Highway,Daylight,Medium,100,Evening,High
Storm,2.187,Rural,Night-lit,High,50,Evening,High
Drizzle,7.834,Highway,Daylight,Medium,40,Afternoon,Medium
Rain,6.595,Intersection,Night-lit,Low,80,Morning,High
Clear,5.92,Highway,Night-lit,Medium,40,Evening,Medium
Rain,3.461,Intersection,Daylight,Medium,100,Evening,High
Clear,3.809,Highway,Daylight,Very High,50,Evening,Medium
Clear,4.631,Urban,Daylight,Very High,40,Night,Medium
Clear,3.636,Urban,Dawn/Dusk,Medium,40,Afternoon,Medium
Fog,5.758,Intersection,Daylight,High,40,Morning,High
Clear,5.049,Urban,Night-lit,Low,40,Night,Medium
Fog,4.432,Rural,Night-lit,Low,50,Night,Low
Fog,5.221,Urban,Daylight,High,30,Morning,Medium
Storm,3.966,Highway,Night-lit,Medium,60,Morning,High
Storm,5.348,Rural,Daylight,Low,30,Night,Medium
Drizzle,5.402,Urban,Daylight,Medium,50,Evening,Medium
Fog,8.829,Rural,Daylight,Medium,60,Afternoon,Medium
Rain,4.732,Urban,Daylight,Low,40,Afternoon,Low
Clear,7.142,Urban,Daylight,Medium,60,Morning,Medium
Fog,5.884,Urban,Night-unlit,Medium,80,Morning,High
Rain,4.869,Intersection,Night-lit,Low,60,Evening,High
Drizzle,3.284,Rural,Daylight,Very High,30,Night,Medium
Clear,5.093,Intersection,Daylight,Medium,40,Morning,Medium
Rain,8.436,Urban,Night-unlit,Medium,50,Afternoon,Medium
Rain,3.278,Highway,Dawn/Dusk,Medium,40,Night,High
Rain,2.526,Urban,Night-lit,Medium,50,Night,High
Clear,7.291,Urban,Daylight,High,40,Evening,Medium
Clear,10.0,Urban,Night-lit,Very High,30,Afternoon,Medium
Drizzle,6.925,Urban,Daylight,Low,100,Morning,Medium
Clear,5.395,Urban,Night-lit,High,50,Afternoon,Medium
Rain,4.397,Rural,Night-lit,High,100,Morning,High
Rain,5.283,Rural,Dawn/Dusk,Very High,60,Afternoon,Medium
Clear,6.891,Intersection,Night-lit,Low,60,Night,Medium
Drizzle,6.527,Rural,Night-lit,High,60,Afternoon,Medium
Drizzle,6.244,Rural,Night-lit,Medium,80,Night,High
Fog,4.551,Intersection,Night-lit,Very High,60,Night,High
Clear,3.142,Highway,Dawn/Dusk,Low,60,Morning,Medium
Storm,6.253,Rural,Daylight,High,40,Night,High
Rain,6.479,Urban,Daylight,Very High,60,Night,High
Storm,3.622,Highway,Daylight,High,50,Night,High
Drizzle,3.187,Highway,Night-lit,High,60,Afternoon,High
Drizzle,3.043,Highway,Daylight,High,40,Night,Medium
Clear,4.257,Highway,Daylight,Medium,30,Afternoon,Low
Drizzle,2.654,Intersection,Dawn/Dusk,Low,100,Afternoon,High
Rain,0.539,Intersection,Daylight,High,30,Afternoon,High
Fog,5.231,Rural,Night-unlit,Medium,40,Morning,Medium
Drizzle,7.775,Intersection,Daylight,High,50,Afternoon,Medium
Rain,2.339,Urban,Dawn/Dusk,Low,60,Evening,High
Rain,4.561,Intersection,Daylight,Medium,100,Evening,High
Clear,4.101,Highway,Daylight,Medium,30,Evening,Medium
Rain,7.992,Urban,Daylight,Medium,50,Night,High
Fog,7.114,Highway,Daylight,High,30,Evening,Medium
Fog,2.986,Rural,Dawn/Dusk,Very High,60,Afternoon,High
Fog,0.4,Urban,Night-unlit,Low,60,Night,High
Clear,8.141,Urban,Dawn/Dusk,Medium,30,Afternoon,Low
Clear,4.168,Highway,Daylight,Low,80,Afternoon,Medium
Storm,9.238,Urban,Dawn/Dusk,High,40,Evening,High
Clear,5.194,Urban,Daylight,High,50,Afternoon,Low
Clear,3.946,Urban,Daylight,High,100,Night,High
Drizzle,8.146,Urban,Daylight,Medium,50,Night,Medium
Rain,4.085,Urban,Dawn/Dusk,Medium,40,Afternoon,Medium
Drizzle,5.502,Intersection,Daylight,High,40,Evening,Medium
Clear,6.382,Urban,Dawn/Dusk,Medium,100,Morning,Medium
Drizzle,3.232,Rural,Night-lit,Medium,40,Afternoon,Medium
Clear,5.655,Urban,Dawn/Dusk,Very High,60,Morning,Medium
Fog,7.709,Urban,Night-unlit,Very High,40,Evening,High
Rain,2.085,Highway,Night-lit,Low,30,Morning,Medium
Clear,4.445,Rural,Daylight,Low,50,Afternoon,Low
Clear,3.977,Intersection,Dawn/Dusk,High,80,Night,High
Clear,2.608,Urban,Night-lit,High,40,Afternoon,Medium
Rain,9.22,Urban,Night-lit,Very High,40,Afternoon,Medium
Drizzle,1.297,Intersection,Daylight,Very High,50,Afternoon,High
Clear,8.27,Rural,Dawn/Dusk,High,80,Evening,Medium
Clear,5.056,Urban,Night-lit,Low,100,Morning,Medium
Clear,9.574,Highway,Night-lit,Very High,60,Evening,High
Rain,6.488,Intersection,Daylight,Low,60,Night,Medium
Rain,6.208,Urban,Daylight,Medium,60,Night,Medium
Drizzle,7.808,Rural,Daylight,Low,80,Evening,Medium
Clear,3.838,Highway,Night-unlit,Medium,80,Afternoon,High
Clear,6.873,Intersection,Night-lit,High,60,Night,High
